text,category
Facing issue because Payment failed but money deducted,Billing
Facing issue because Support team is not responding,Service
Facing issue because I was billed twice,Billing
Received wrong product,Product
Facing issue because My order has not arrived,Delivery
System problem while logging in,Technical
My bill amount is not correct,Billing
App crashes during payment,Technical
The product is defective,Product
My order has not arrived please fix this,Delivery
I am facing an issue: System issue while logging in,Technical
Please resolve: System problem while logging in,Technical
Facing issue because My order has not arrived,Delivery
System issue while logging in,Technical
I am facing an issue: I was debited twice,Billing
There is extra charge on my invoice,Billing
I am facing an issue: There is extra charge on my invoice,Billing
Received wrong product please fix this,Product
Payment failed but money deducted,Billing
Facing issue because System issue while logging in,Technical
App crashes during payment,Technical
Why is this happening: App crashes during payment,Technical
Order tracking not working,Delivery
Refund not processed please fix this,Billing
Please resolve: Customer service is unprofessional,Service
Received wrong product,Product
I am facing an issue: Package was sent to wrong address,Delivery
Need help with Refund not processed,Billing
Need help with App crashes during payment,Technical
There is extra charge on my invoice,Billing
Order tracking not working,Delivery
Support team is not responding,Service
Payment failed but money deducted,Billing
Facing issue because Refund not processed,Billing
Package was sent to wrong address,Delivery
There is a problem with Refund not processed,Billing
Item is not included in package,Product
Call center not answering,Service
Received wrong product please fix this,Product
Received wrong product,Product
Facing issue because The product is defective,Product
Please resolve: My order has not arrived,Delivery
Why is this happening: My order has not arrived,Delivery
Delivery is late,Delivery
Item is not included in package,Product
Order tracking not working,Delivery
Delivery is late please fix this,Delivery
Please resolve: System problem while logging in,Technical
I was billed twice,Billing
System issue while logging in,Technical
Order tracking not working,Delivery
Please resolve: Refund not processed,Billing
Order tracking not working,Delivery
Unable to access dashboard,Technical
I am facing an issue: Payment failed but money deducted,Billing
Received wrong product,Product
Product quality is bad,Product
I am facing an issue: There is extra charge on my invoice,Billing
Product quality is bad,Product
There is a problem with Support team is not responding,Service
Please resolve: The product is broken,Product
Customer service is impolite,Service
My order has not arrived please fix this,Delivery
Refund not processed,Billing
Received wrong product,Product
The product is defective,Product
I was billed twice,Billing
System issue while logging in,Technical
I am facing an issue: There is extra charge on my invoice,Billing
System issue while logging in,Technical
The product is defective,Product
Facing issue because Item is not included in package,Product
There is a problem with Refund not processed,Billing
Need help with App crashes during payment,Technical
I am facing an issue: Order tracking not working,Delivery
I am facing an issue: Product quality is bad,Product
Facing issue because Delivery is slow,Delivery
System problem while logging in,Technical
Support team is not responding,Service
Need help with My order has not arrived,Delivery
The product is defective,Product
My bill amount is not correct,Billing
There is a problem with App crashes during payment,Technical
Item is lost in package,Product
Package was sent to wrong address,Delivery
Product quality is bad,Product
Unable to access dashboard please fix this,Technical
Facing issue because The product is broken,Product
My order has not arrived,Delivery
Package was sent to wrong address please fix this,Delivery
I am facing an issue: Order tracking not working,Delivery
Facing issue because Refund not processed,Billing
My order has not arrived please fix this,Delivery
App crashes during payment,Technical
Need help with Received wrong product,Product
Support team is not responding,Service
Please resolve: System issue while logging in,Technical
There is a problem with Support team is not responding,Service
Why is this happening: Call center not answering,Service
Need help with App crashes during payment,Technical
Call center not answering please fix this,Service
There is a problem with Product quality is bad,Product
There is extra charge on my invoice,Billing
Unable to access dashboard,Technical
Support team is not responding,Service
Item is not included in package,Product
Please resolve: My bill amount is not correct,Billing
Why is this happening: Refund not processed,Billing
Why is this happening: App crashes during payment,Technical
App crashes during payment,Technical
Why is this happening: The product is broken,Product
Payment failed but money deducted,Billing
There is extra charge on my invoice please fix this,Billing
Support team is not responding,Service
There is a problem with Call center not answering,Service
App crashes during payment,Technical
Refund not processed,Billing
Product quality is bad,Product
Received wrong product,Product
Package was sent to wrong address,Delivery
Facing issue because The product is broken,Product
Support team is not responding,Service
I am facing an issue: System problem while logging in,Technical
Need help with The product is defective,Product
There is a problem with My bill amount is not correct,Billing
Support team is not responding,Service
There is a problem with Item is lost in package,Product
Package was sent to wrong address,Delivery
Call center not answering,Service
Need help with The product is defective,Product
System issue while logging in please fix this,Technical
Customer service is impolite,Service
App crashes during payment,Technical
Please resolve: App crashes during payment,Technical
Product quality is bad,Product
I was deducted twice,Billing
Product quality is bad,Product
There is a problem with Call center not answering,Service
The product is defective,Product
I was deducted twice,Billing
There is a problem with Unable to access dashboard,Technical
Why is this happening: Received wrong product,Product
Refund not processed,Billing
Support team is not responding,Service
Item is not included in package,Product
Please resolve: System problem while logging in,Technical
Order tracking not working,Delivery
There is extra charge on my invoice,Billing
Why is this happening: Payment failed but money deducted,Billing
There is extra charge on my invoice,Billing
There is a problem with Item is not included in package,Product
I am facing an issue: Product quality is bad,Product
My bill amount is mismatched,Billing
Why is this happening: Refund not processed,Billing
Package was sent to wrong address,Delivery
Need help with Support team is not responding,Service
There is a problem with There is extra charge on my invoice,Billing
I am facing an issue: My order has not arrived,Delivery
Need help with Payment failed but money deducted,Billing
Facing issue because Refund not processed,Billing
There is extra charge on my invoice,Billing
System problem while logging in,Technical
Unable to access dashboard,Technical
Please resolve: My order has not arrived,Delivery
My order has not arrived,Delivery
Customer service is unprofessional,Service
Refund not processed,Billing
Unable to access dashboard,Technical
App crashes during payment,Technical
There is extra charge on my invoice,Billing
There is extra charge on my invoice,Billing
There is a problem with App crashes during payment,Technical
Unable to access dashboard,Technical
There is extra charge on my invoice,Billing
Unable to access dashboard,Technical
There is a problem with Product quality is bad,Product
Payment failed but money deducted,Billing
I was debited twice,Billing
I am facing an issue: My order has not arrived,Delivery
There is extra charge on my invoice,Billing
There is a problem with Payment failed but money deducted,Billing
Facing issue because App crashes during payment,Technical
Package was sent to wrong address,Delivery
I am facing an issue: Received wrong product,Product
Package was sent to wrong address,Delivery
Need help with My order has not arrived,Delivery
The product is broken,Product
Item is not included in package,Product
Order tracking not working please fix this,Delivery
My bill amount is mismatched,Billing
Item is lost in package,Product
The product is defective,Product
Facing issue because Package was sent to wrong address,Delivery
Why is this happening: System problem while logging in,Technical
Why is this happening: Call center not answering,Service
I am facing an issue: App crashes during payment,Technical
I am facing an issue: Unable to access dashboard,Technical
Package was sent to wrong address,Delivery
Need help with Payment failed but money deducted,Billing
Order tracking not working,Delivery
I am facing an issue: Support team is not responding,Service
There is a problem with Product quality is bad,Product
Need help with I was debited twice,Billing
Product quality is bad,Product
Please resolve: App crashes during payment,Technical
My bill amount is wrong,Billing
Payment failed but money deducted,Billing
There is a problem with Payment failed but money deducted,Billing
There is a problem with Delivery is late,Delivery
Refund not processed,Billing
App crashes during payment,Technical
Please resolve: My order has not arrived,Delivery
Facing issue because System problem while logging in,Technical
Why is this happening: Unable to access dashboard,Technical
Delivery is late,Delivery
My bill amount is not correct please fix this,Billing
There is a problem with Delivery is slow,Delivery
I was debited twice,Billing
Support team is not responding,Service
Received wrong product,Product
Why is this happening: Received wrong product,Product
Order tracking not working,Delivery
Unable to access dashboard,Technical
I was billed twice,Billing
My order has not arrived,Delivery
App crashes during payment,Technical
Received wrong product,Product
App crashes during payment,Technical
System issue while logging in,Technical
Delivery is late,Delivery
Support team is not responding,Service
I am facing an issue: System issue while logging in,Technical
Support team is not responding,Service
Delivery is late,Delivery
Need help with Payment failed but money deducted,Billing
Refund not processed please fix this,Billing
Facing issue because Unable to access dashboard,Technical
Need help with My bill amount is mismatched,Billing
There is a problem with The product is broken,Product
I was billed twice,Billing
Support team is not responding,Service
Facing issue because Received wrong product,Product
My order has not arrived,Delivery
App crashes during payment,Technical
System problem while logging in,Technical
Support team is not responding,Service
Unable to access dashboard,Technical
My order has not arrived,Delivery
Customer service is unprofessional,Service
There is a problem with Call center not answering,Service
Need help with Call center not answering,Service
Product quality is bad,Product
App crashes during payment please fix this,Technical
There is a problem with Order tracking not working,Delivery
My order has not arrived,Delivery
My bill amount is not correct,Billing
Refund not processed,Billing
I am facing an issue: Delivery is late,Delivery
Order tracking not working,Delivery
There is a problem with Package was sent to wrong address,Delivery
Need help with Received wrong product,Product
Why is this happening: My bill amount is mismatched,Billing
Please resolve: App crashes during payment,Technical
There is a problem with Unable to access dashboard,Technical
Product quality is bad,Product
There is a problem with My bill amount is not correct,Billing
Unable to access dashboard,Technical
Received wrong product,Product
Why is this happening: I was debited twice,Billing
Payment failed but money deducted,Billing
Why is this happening: App crashes during payment,Technical
Delivery is late,Delivery
There is a problem with App crashes during payment,Technical
Need help with My bill amount is wrong,Billing
Why is this happening: The product is broken,Product
My bill amount is wrong,Billing
Please resolve: Received wrong product,Product
Product quality is bad,Product
I am facing an issue: Item is lost in package,Product
Call center not answering,Service
Order tracking not working,Delivery
Received wrong product,Product
There is a problem with The product is defective,Product
Facing issue because Product quality is bad,Product
The product is defective,Product
Please resolve: Delivery is slow,Delivery
Payment failed but money deducted,Billing
Why is this happening: My bill amount is mismatched,Billing
I am facing an issue: Delivery is late,Delivery
Item is not included in package,Product
Call center not answering,Service
Delivery is late,Delivery
Customer service is impolite,Service
The product is defective,Product
Facing issue because Unable to access dashboard,Technical
Facing issue because Delivery is late,Delivery
Why is this happening: App crashes during payment,Technical
System problem while logging in,Technical
There is a problem with App crashes during payment,Technical
Unable to access dashboard,Technical
I am facing an issue: I was billed twice,Billing
Facing issue because Call center not answering,Service
Received wrong product,Product
I am facing an issue: Support team is not responding,Service
Received wrong product,Product
My order has not arrived,Delivery
Why is this happening: Refund not processed,Billing
My order has not arrived,Delivery
System issue while logging in,Technical
Why is this happening: Received wrong product,Product
There is a problem with Support team is not responding,Service
My bill amount is wrong,Billing
Facing issue because Customer service is impolite,Service
The product is broken,Product
Product quality is bad,Product
There is a problem with Support team is not responding,Service
Payment failed but money deducted,Billing
The product is defective,Product
Please resolve: I was debited twice,Billing
Why is this happening: I was debited twice,Billing
Customer service is impolite,Service
There is a problem with There is extra charge on my invoice,Billing
There is a problem with Delivery is slow,Delivery
Call center not answering,Service
I am facing an issue: Product quality is bad,Product
Unable to access dashboard,Technical
Package was sent to wrong address,Delivery
The product is defective,Product
Need help with Call center not answering,Service
Please resolve: System issue while logging in,Technical
Customer service is unprofessional,Service
Call center not answering,Service
I was debited twice,Billing
Please resolve: Product quality is bad,Product
Item is lost in package please fix this,Product
Please resolve: Customer service is unprofessional,Service
I am facing an issue: Customer service is impolite,Service
Call center not answering,Service
I am facing an issue: Payment failed but money deducted,Billing
There is extra charge on my invoice please fix this,Billing
Please resolve: Support team is not responding,Service
I am facing an issue: App crashes during payment,Technical
Please resolve: Received wrong product,Product
Please resolve: Received wrong product,Product
Need help with Customer service is unprofessional,Service
I am facing an issue: There is extra charge on my invoice,Billing
Support team is not responding,Service
My order has not arrived,Delivery
Facing issue because My bill amount is wrong,Billing
App crashes during payment please fix this,Technical
Why is this happening: The product is defective,Product
Package was sent to wrong address please fix this,Delivery
Facing issue because Support team is not responding,Service
I am facing an issue: Order tracking not working,Delivery
Facing issue because Payment failed but money deducted,Billing
My bill amount is mismatched,Billing
Need help with Unable to access dashboard,Technical
Product quality is bad,Product
My bill amount is not correct,Billing
There is a problem with Customer service is unprofessional,Service
Item is not included in package,Product
Customer service is impolite,Service
Unable to access dashboard please fix this,Technical
Order tracking not working,Delivery
I was debited twice,Billing
Need help with Delivery is slow,Delivery
Please resolve: I was billed twice,Billing
I am facing an issue: System issue while logging in,Technical
Delivery is slow,Delivery
There is a problem with Delivery is slow,Delivery
There is a problem with There is extra charge on my invoice,Billing
I am facing an issue: I was debited twice,Billing
Facing issue because My bill amount is not correct,Billing
Delivery is slow,Delivery
My bill amount is wrong please fix this,Billing
Why is this happening: Received wrong product,Product
Customer service is unprofessional,Service
I am facing an issue: Package was sent to wrong address,Delivery
There is extra charge on my invoice,Billing
Package was sent to wrong address,Delivery
Please resolve: Item is not included in package,Product
I am facing an issue: System problem while logging in,Technical
Product quality is bad,Product
Why is this happening: Unable to access dashboard,Technical
I am facing an issue: Unable to access dashboard,Technical
The product is broken please fix this,Product
Call center not answering please fix this,Service
Call center not answering,Service
Package was sent to wrong address,Delivery
System problem while logging in,Technical
There is extra charge on my invoice,Billing
Please resolve: Order tracking not working,Delivery
Order tracking not working,Delivery
The product is broken,Product
The product is defective,Product
Need help with There is extra charge on my invoice,Billing
I was debited twice,Billing
Payment failed but money deducted,Billing
App crashes during payment please fix this,Technical
Facing issue because My bill amount is mismatched,Billing
My order has not arrived,Delivery
Facing issue because The product is defective,Product
I was debited twice please fix this,Billing
Product quality is bad,Product
Package was sent to wrong address,Delivery
Why is this happening: Delivery is late,Delivery
Facing issue because My bill amount is mismatched,Billing
My bill amount is wrong,Billing
Unable to access dashboard,Technical
My bill amount is wrong,Billing
Payment failed but money deducted please fix this,Billing
Please resolve: Package was sent to wrong address,Delivery
Please resolve: There is extra charge on my invoice,Billing
There is a problem with Received wrong product,Product
Package was sent to wrong address please fix this,Delivery
I am facing an issue: Customer service is unprofessional,Service
There is extra charge on my invoice,Billing
Call center not answering,Service
Please resolve: System problem while logging in,Technical
There is a problem with Package was sent to wrong address,Delivery
Please resolve: My bill amount is mismatched,Billing
Need help with Refund not processed,Billing
Payment failed but money deducted,Billing
There is a problem with Support team is not responding,Service
Product quality is bad,Product
Unable to access dashboard,Technical
There is a problem with I was debited twice,Billing
Unable to access dashboard,Technical
Facing issue because Support team is not responding,Service
My order has not arrived,Delivery
Item is not included in package,Product
System issue while logging in,Technical
Facing issue because There is extra charge on my invoice,Billing
Please resolve: Item is lost in package,Product
My order has not arrived please fix this,Delivery
Payment failed but money deducted,Billing
My bill amount is mismatched,Billing
Call center not answering please fix this,Service
There is a problem with Support team is not responding,Service
Please resolve: Product quality is bad,Product
Need help with Product quality is bad,Product
Please resolve: The product is defective,Product
Why is this happening: Customer service is impolite,Service
Payment failed but money deducted please fix this,Billing
Please resolve: App crashes during payment,Technical
There is a problem with Payment failed but money deducted,Billing
System issue while logging in,Technical
System issue while logging in,Technical
Facing issue because Call center not answering,Service
Product quality is bad,Product
Item is not included in package,Product
There is a problem with Item is lost in package,Product
Facing issue because System issue while logging in,Technical
System issue while logging in,Technical
I am facing an issue: Call center not answering,Service
There is a problem with Order tracking not working,Delivery
